line_id,lat,lng,title,color,description
pattern-tobacco,18.22,-66.59,"Pattern 1 — Tobacco: Indigenous Americas → global empire",#8B4513,"Taíno Caribbean origin → Spanish + British colonial plantations (Chesapeake) → global diffusion → modern pharma-level industrialization."
pattern-tobacco,38.55,106.25,"Pattern 1 — Tobacco: Indigenous Americas → global empire",#8B4513,"China — world's #1 producer today (43% of global)."
pattern-cannabis,35.00,65.00,"Pattern 2 — Cannabis: Central Asian origin → colonial diffusion → prohibition → legalization",#8B4513,"Hindu Kush origin → Silk Road + sacramental Hindu use → colonial Caribbean diffusion (Jamaica Rastafari) → 1937 US Prohibition → 2010s+ legalization wave."
pattern-cannabis,45.42,-75.70,"Pattern 2 — Cannabis: Central Asian origin → colonial diffusion → prohibition → legalization",#8B4513,"Canada — first G7 to fully legalize (2018)."
pattern-opioids,30.87,46.10,"Pattern 3 — Opioids: Sumerian medicine → British imperial weapon → pharma + fentanyl crisis",#8B4513,"Sumerian 'hul gil' → Greek Hippocratic medicine → British Opium Wars against China → 1996 OxyContin → 500,000+ US overdose deaths."
pattern-opioids,33.31,66.52,"Pattern 3 — Opioids: Sumerian medicine → British imperial weapon → pharma + fentanyl crisis",#8B4513,"Afghanistan — 85% of world illicit opium pre-2022."
pattern-coca,-13.52,-71.97,"Pattern 4 — Coca: Andean sacred plant → colonial extraction fuel → pharma (Coca-Cola) → Drug War",#8B4513,"Inca sacred plant → Potosí silver mine labor extraction → 1860 isolation of cocaine → 1886 Coca-Cola → 1999 Plan Colombia."
pattern-coca,4.71,-74.07,"Pattern 4 — Coca: Andean sacred plant → colonial extraction fuel → pharma (Coca-Cola) → Drug War",#8B4513,"Colombia — world's largest cocaine supplier despite $10B+ US aid."
pattern-psychedelics,26.03,-103.56,"Pattern 5 — Psychedelics: Indigenous ceremony → 20th-century ban → scientific renaissance",#8B4513,"Huichol peyote pilgrimage → Mazatec María Sabina → LSD (Hofmann Basel 1938) → Schedule I 1970 → Johns Hopkins revival 2006+ → Oregon legal psilocybin 2023."
pattern-psychedelics,45.52,-122.67,"Pattern 5 — Psychedelics: Indigenous ceremony → 20th-century ban → scientific renaissance",#8B4513,"Oregon — first legal US psilocybin services."
pattern-khat,9.31,42.13,"Pattern 6 — Khat: Ethiopian origin → Horn of Africa + Yemen daily economy → UK ban",#8B4513,"Harar Ethiopia origin → Yemen (70% of water use) → Somali + Kenyan daily trade → UK 2014 ban disrupted diaspora economies."
pattern-khat,15.35,44.21,"Pattern 6 — Khat: Ethiopian origin → Horn of Africa + Yemen daily economy → UK ban",#8B4513,"Yemen — khat as climate + food-security multiplier."
synthesis-drug-war,38.91,-77.03,"LAYER 3 — Modern Drug War + Policy Convergence",#6B7280,"Washington DC — 1970 Controlled Substances Act + 1971 Nixon 'War on Drugs' declaration shapes global policy."
synthesis-drug-war,46.21,6.14,"LAYER 3 — Modern Drug War + Policy Convergence",#6B7280,"Geneva — UN 1961 Single Convention + 1971 Convention on Psychotropic Substances + 1988 Vienna Convention establish global prohibition framework."
synthesis-drug-war,52.37,4.90,"LAYER 3 — Modern Drug War + Policy Convergence",#6B7280,"Amsterdam — harm-reduction alternative model since 1976 coffeeshop policy."
synthesis-drug-war,50.08,14.44,"LAYER 3 — Modern Drug War + Policy Convergence",#6B7280,"Prague — Czechia decriminalized all drugs 2010; first EU country with across-the-board decriminalization."
synthesis-drug-war,38.71,-9.14,"LAYER 3 — Modern Drug War + Policy Convergence",#6B7280,"Lisbon — Portugal decriminalized all drugs 2001; the most studied 'Portugal model' successful case for decrim + treatment."
