polygon_id,lat,lng,title,color,fill_color,description
key-modern-borders,0,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,"All coloured regions on this synthesis map are MODERN country borders. None represent pre-colonial Indigenous sovereignties, pre-modern empires (Ottoman, Aztec, Mali, Tu'i Tonga), or colonial territories. The goal of this map is to visualise the SEVEN origin regions side-by-side so students can see the geographic pattern: every commodity we consume comes from a specific ecological zone with specific cultural stewards."
key-modern-borders,0,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
key-modern-borders,-15,-30,"⚠ MAP KEY — these are MODERN political borders",#9CA3AF,#9CA3AF1A,""
origin-coffee,14.5,36.5,"Origin 1 — Coffee (Ethiopia)",#8B4513,#8B451333,"Coffee's ORIGIN — Kaffa highlands, Ethiopia. Modern border (post-1991). Still home to irreplaceable wild coffee genetic diversity."
origin-coffee,14.8,41.0,"Origin 1 — Coffee (Ethiopia)",#8B4513,#8B451333,""
origin-coffee,7.0,45.0,"Origin 1 — Coffee (Ethiopia)",#8B4513,#8B451333,""
origin-coffee,4.3,42.0,"Origin 1 — Coffee (Ethiopia)",#8B4513,#8B451333,""
origin-coffee,4.7,37.5,"Origin 1 — Coffee (Ethiopia)",#8B4513,#8B451333,""
origin-coffee,9.5,34.0,"Origin 1 — Coffee (Ethiopia)",#8B4513,#8B451333,""
origin-coffee,12.5,35.0,"Origin 1 — Coffee (Ethiopia)",#8B4513,#8B451333,""
origin-tea,53,80,"Origin 2 — Tea (China)",#388E3C,#388E3C33,"Tea's ORIGIN — Yunnan Province, China. Modern border (post-1949). 1,000+ year monopoly before British Empire forced transplant to India."
origin-tea,50,130,"Origin 2 — Tea (China)",#388E3C,#388E3C33,""
origin-tea,22,109,"Origin 2 — Tea (China)",#388E3C,#388E3C33,""
origin-tea,28,85,"Origin 2 — Tea (China)",#388E3C,#388E3C33,""
origin-tea,45,74,"Origin 2 — Tea (China)",#388E3C,#388E3C33,""
origin-chocolate,1.5,-79,"Origin 3 — Chocolate (Ecuador)",#5D4037,#5D403733,"Chocolate's ANCESTRAL origin — DNA evidence places earliest cacao in the upper Amazon basin of modern Ecuador 5,300+ years ago (Zarrillo 2018). Mesoamerican cultural origin (Aztec xocolatl, Maya Popol Vuh) follows later."
origin-chocolate,1.5,-76,"Origin 3 — Chocolate (Ecuador)",#5D4037,#5D403733,""
origin-chocolate,-4,-76,"Origin 3 — Chocolate (Ecuador)",#5D4037,#5D403733,""
origin-chocolate,-4,-81,"Origin 3 — Chocolate (Ecuador)",#5D4037,#5D403733,""
origin-sugar,-1,141,"Origin 4 — Sugar (Papua New Guinea)",#FFC107,#FFC10733,"Sugar cane's ORIGIN — Saccharum officinarum was domesticated in New Guinea ~10,000 years ago. From here it spread via Austronesian navigation west through Asia, eventually reaching the Atlantic slave-trade system."
origin-sugar,-1,156,"Origin 4 — Sugar (Papua New Guinea)",#FFC107,#FFC10733,""
origin-sugar,-11,151,"Origin 4 — Sugar (Papua New Guinea)",#FFC107,#FFC10733,""
origin-sugar,-11,141,"Origin 4 — Sugar (Papua New Guinea)",#FFC107,#FFC10733,""
origin-guayusa,1.5,-79,"Origin 5 — Guayusa (Ecuador / Amazon)",#00695C,#00695C33,"Guayusa's ORIGIN — Amazonian cloud forest transition zone. Kichwa + Achuar cultivated for 1,500+ years as an obligate understory species. Cannot be grown without intact forest ecosystem."
origin-guayusa,-5,-72,"Origin 5 — Guayusa (Ecuador / Amazon)",#00695C,#00695C33,""
origin-guayusa,-5,-78,"Origin 5 — Guayusa (Ecuador / Amazon)",#00695C,#00695C33,""
origin-guayusa,1,-79,"Origin 5 — Guayusa (Ecuador / Amazon)",#00695C,#00695C33,""
origin-kola,14,3,"Origin 6 — Kola (West Africa / Nigeria)",#D84315,#D8431533,"Kola's ORIGIN — West African rainforest belt. Yoruba, Igbo, Hausa, Akan cultural homelands. Fueled the medieval trans-Saharan trade network connecting Mali, Songhai, and North Africa."
origin-kola,14,14,"Origin 6 — Kola (West Africa / Nigeria)",#D84315,#D8431533,""
origin-kola,4,8,"Origin 6 — Kola (West Africa / Nigeria)",#D84315,#D8431533,""
origin-kola,5,5,"Origin 6 — Kola (West Africa / Nigeria)",#D84315,#D8431533,""
origin-kola,7,3,"Origin 6 — Kola (West Africa / Nigeria)",#D84315,#D8431533,""
origin-kava,-13,166,"Origin 7 — Kava (Vanuatu)",#6A1B9A,#6A1B9A33,"Kava's ORIGIN — Tanna Island, Vanuatu. Piper methysticum domesticated ~3,000 years ago by Ni-Vanuatu. Austronesian voyaging carried it east to Fiji, Samoa, Tonga, Hawai'i — one of the longest cultural plant migrations in human history."
origin-kava,-13,172,"Origin 7 — Kava (Vanuatu)",#6A1B9A,#6A1B9A33,""
origin-kava,-21,171,"Origin 7 — Kava (Vanuatu)",#6A1B9A,#6A1B9A33,""
origin-kava,-21,166,"Origin 7 — Kava (Vanuatu)",#6A1B9A,#6A1B9A33,""
